Condition,Desperation
Full,4
Full,2
Full,1
Full,1
Full,3
Full,3
Full,3
Full,3
Full,4
Full,5
Full,1
Full,3
Full,4
Full,1
Full,4
Full,3
Full,1
Full,4
Full,1
Full,4
Full,3
Full,3
Full,4
Full,2
Full,2
Full,1
Full,2
Full,3
Full,5
Full,4
Full,5
Full,2
Full,3
Full,4
Full,3
Full,3
Full,4
Full,2
Full,3
Full,2
Full,4
Full,2
Full,1
Full,2
Full,3
Full,3
Full,2
Full,2
Full,2
Full,3
Full,2
Full,1
Full,3
Full,2
Full,5
Full,3
Full,2
Full,1
Full,1
Full,1
Full,4
Full,3
Full,5
Full,4
Full,2
Full,3
Full,2
Full,3
Full,2
Full,3
Full,4
Full,2
Full,2
Full,3
Full,3
Full,3
Full,2
Full,4
Full,1
Full,2
Full,3
Full,3
Full,4
Full,2
Full,3
Full,2
Full,4
Full,3
Full,2
Full,4
Full,2
Full,2
Full,2
Full,4
Full,1
Full,2
Full,2
Full,1
Full,3
Full,3
Full,4
Full,4
Full,4
Full,4
Full,2
Full,2
Full,4
Full,3
Full,2
Full,2
Full,2
Full,2
Full,1
Full,3
Full,2
Full,4
Full,4
Full,3
Full,1
Full,2
Full,3
Full,2
Full,2
Full,3
Full,3
Full,4
Full,4
Full,4
Full,2
Full,2
Full,3
Full,3
Full,3
Full,3
Full,1
Full,1
Full,3
Full,1
Full,4
Full,3
Full,5
Full,2
Full,5
Full,2
Full,1
Full,3
Full,5
Full,4
Full,3
Full,2
Full,1
Full,4
Full,1
Full,3
Full,2
Full,3
Full,2
Full,2
Full,4
Full,3
Full,3
Full,3
Full,4
Full,5
Full,4
Full,3
Full,4
Full,2
Full,2
Full,4
Full,5
Full,3
Full,2
Full,4
Full,1
Full,2
Full,3
Full,3
Full,1
Full,3
Full,3
Full,1
Full,2
Full,4
Full,3
Full,3
Full,2
Full,3
Full,3
Full,3
Full,2
Full,3
Full,4
Full,4
Full,3
Full,1
Full,4
Full,3
Full,2
Full,2
Full,3
Full,2
Full,2
Full,3
Full,2
Full,3
Full,2
Full,2
Full,3
Full,3
Full,2
Full,3
Full,3
Full,4
Full,3
Full,2
Full,4
Full,2
Full,2
Full,1
Full,3
Full,3
Full,4
Full,4
Full,3
Full,4
Full,4
Full,3
Full,2
Full,2
Full,2
Full,1
Full,3
Full,4
Full,2
Full,2
Full,4
