Condition,Response,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,5,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,5,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,5,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,5,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,5,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,1,,,,,
Chat,1,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,5,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,1,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,5,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,4,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,5,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,5,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,5,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,5,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,1,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,2,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,4,,,,,
Chat,3,,,,,
Chat,2,,,,,
Chat,3,,,,,
Chat,4,,,,,
